,lat,lon,cf,area,mask,restricted_area
2970,44.86,-67.66,0.42275906,31.553382172638063,0.85377765,26.939572386828285
2971,43.96,-70.36,0.42264357,32.04269288293525,0.41108876,13.172391033866298
2972,44.74,-69.04,0.42260534,31.61907607473005,0.62711865,19.828912210490564
2973,43.24,-72.22,0.42260468,32.42845481643487,0.58361584,18.925759880776788
2974,44.08,-69.46,0.42253745,31.977905634120248,0.30508474,9.755970871200535
2975,42.76,-72.28,0.42251694,32.68278825845872,0.615,20.09991509063947
2976,44.86,-67.48,0.42247736,31.553382172638063,0.6908241,21.79783657109757
2977,43.90,-69.76,0.4224082,32.07503381693746,0.5610754,17.996512088382396
2978,42.10,-71.68,0.4224031,33.0287477925354,0.08615165,2.8454811870765866
2979,42.34,-71.20,0.42230332,32.90344899966837,0.0,0.0
2980,42.40,-71.02,0.42229924,32.872034008731305,0.007831968,0.2574527305186112
2981,44.02,-69.64,0.42229116,32.0103168101614,0.2913501,9.326208890488754
2982,44.02,-69.94,0.42223307,32.0103168101614,0.4509059,14.433640367186356
2983,44.92,-73.30,0.4222134,31.5204833002992,0.34945354,11.01494442944431
2984,46.00,-69.34,0.4221808,30.9224279366691,0.5774401,17.855849355143103
2985,44.56,-73.36,0.4221758,31.717356781377678,0.0016393443,0.051995666903142244
2986,46.60,-69.94,0.4221673,30.58541389743647,0.9292811,28.422447545615295
2987,42.82,-72.88,0.42214486,32.65112165546491,0.46666667,15.237190170755577
2988,44.68,-70.36,0.42212906,31.651871032441683,0.8095375,25.623375607153832
2989,46.24,-67.84,0.4220844,30.78802717911816,0.6098773,18.776918529385668
2990,46.60,-68.44,0.42204273,30.58541389743647,0.58007014,17.74168525958798
2991,41.80,-72.22,0.4220326,33.184556075758266,0.2076033,6.889223535473612
2992,43.78,-72.82,0.42202324,32.13961012680217,0.2838798,9.123785668375925
2993,43.90,-70.00,0.42202,32.07503381693746,0.18965517,6.0831959863234415
2994,45.70,-68.32,0.4219468,31.08966562829776,0.66438764,20.655589678927843
2995,46.84,-68.62,0.42192948,30.449667069036767,0.9848395,29.988034860887538
2996,42.10,-73.06,0.42190397,33.0287477925354,0.44479385,14.690983897381164
2997,43.06,-71.14,0.421864,32.524097531452135,0.28333333,9.215160902625195
2998,45.10,-70.24,0.4218514,31.421579431156854,0.6437756,20.22844559550408
2999,44.32,-71.44,0.4218217,31.847910608716553,0.8742938,27.84443092091953
3000,45.52,-68.56,0.4218132,31.189599412721627,0.8527177,26.595923400918313
3001,44.50,-69.04,0.42181155,31.750047500788828,0.6776739,21.516177762109997
3002,45.70,-68.02,0.42179927,31.08966562829776,0.8011296,24.906850752963827
3003,45.82,-68.38,0.4217984,31.022872576167664,0.7577289,23.50692632658542
