lat,lon,capacity
44.8,-67.36,98.41642681503296
44.8,-67.3,98.41642681503296
44.8,-67.24,98.41642681503296
44.8,-67.18,98.41642681503296
44.8,-67.12,98.41642681503296
44.8,-67.06,98.41642681503296
44.8,-67.0,98.41642681503296
44.86,-67.36,98.31403035736085
44.86,-67.3,98.31403035736085
44.86,-67.24,98.31403035736085
44.86,-67.06,98.31403035736085
44.92,-70.54,98.21152098426819
44.92,-67.36,98.21152098426819
44.92,-67.18,98.21152098426819
44.98,-67.48,98.10891058158875
44.98,-67.3,98.10891058158875
44.98,-67.18,98.10891058158875
44.98,-67.12,98.10891058158875
44.98,-67.06,98.10891058158875
45.04,-67.48,98.00618726348877
45.04,-67.3,98.00618726348877
45.04,-67.24,98.00618726348877
45.04,-67.18,98.00618726348877
45.22,-71.08,97.69737547416688
45.34,-70.6,97.49096608543397
45.4,-70.6,97.38760093231201
45.4,-70.54,97.38760093231201
45.4,-69.34,97.38760093231201
45.4,-68.08,97.38760093231201
45.46,-70.6,97.28413474960328
45.46,-70.54,97.28413474960328
45.46,-70.48,97.28413474960328
45.46,-70.18,97.28413474960328
45.46,-70.12,97.28413474960328
45.46,-67.72,97.28413474960328
45.519999999999996,-69.28,97.18055565147401
45.519999999999996,-68.02,97.18055565147401
45.519999999999996,-67.6,97.18055565147401
45.58,-67.78,97.07686958084106
45.58,-67.72,97.07686958084106
45.58,-67.66,97.07686958084106
45.64,-67.78,96.97307653770447
45.7,-70.42,37.98583686583604
45.76,-70.36,96.76517547683716
45.76,-70.3,96.76517547683716
45.76,-70.24,96.76517547683716
45.76,-69.46,96.76517547683716
45.88,-69.04,96.55685246887208
45.94,-70.18,96.45253050613404
45.94,-70.12,96.45253050613404
45.94,-68.92,96.45253050613404
45.94,-67.96,96.45253050613404
45.94,-67.84,96.45253050613404
46.0,-70.0,96.34810157089234
46.0,-69.94,96.34810157089234
46.0,-69.88,96.34810157089234
46.0,-68.08,96.34810157089234
46.06,-70.24,96.24356566314698
46.06,-69.94,40.76154400074286
46.06,-68.92,96.24356566314698
46.06,-68.86,96.24356566314698
46.06,-68.14,96.24356566314698
46.12,-70.24,96.13892872581482
46.12,-70.18,96.13892872581482
46.12,-70.12,96.13892872581482
46.12,-69.82,96.13892872581482
46.12,-69.76,96.13892872581482
46.12,-68.86,96.13892872581482
46.12,-68.5,96.13892872581482
46.12,-68.26,96.13892872581482
46.18,-70.24,96.034184815979
46.18,-70.12,96.034184815979
46.18,-70.06,96.034184815979
46.18,-68.5,96.034184815979
46.18,-68.26,96.034184815979
46.18,-68.2,96.034184815979
46.18,-68.14,96.034184815979
46.18,-68.08,96.034184815979
46.24,-70.12,95.92933393363953
46.24,-70.06,95.92933393363953
46.24,-70.0,95.92933393363953
46.24,-68.5,95.92933393363953
46.24,-68.44,95.92933393363953
46.24,-68.38,95.92933393363953
46.24,-68.32,95.92933393363953
46.24,-68.26,95.92933393363953
46.24,-68.08,95.92933393363953
46.24,-68.02,95.92933393363953
46.3,-70.0,95.82438202171326
46.3,-69.7,95.82438202171326
46.3,-69.64,95.82438202171326
46.3,-68.5,95.82438202171326
46.3,-68.44,95.82438202171326
46.3,-68.38,95.82438202171326
46.3,-68.32,95.82438202171326
46.3,-68.14,95.82438202171326
46.3,-68.08,95.82438202171326
46.36,-69.76,95.71932313728333
46.36,-69.7,95.71932313728333
46.36,-69.64,95.71932313728333
46.36,-68.44,95.71932313728333
46.36,-68.38,95.71932313728333
46.36,-68.14,95.71932313728333
46.36,-68.08,95.71932313728333
46.36,-68.02,95.71932313728333
46.42,-70.0,95.61415728034973
46.42,-69.82,95.61415728034973
46.42,-69.76,95.61415728034973
46.42,-69.7,95.61415728034973
46.42,-69.64,95.61415728034973
46.42,-69.58,95.61415728034973
46.42,-68.92,95.61415728034973
46.42,-68.38,95.61415728034973
46.42,-68.26,95.61415728034973
46.42,-68.2,95.61415728034973
46.42,-68.14,95.61415728034973
46.42,-68.08,95.61415728034973
46.42,-68.02,95.61415728034973
46.42,-67.96,95.61415728034973
46.48,-69.7,95.50888445091248
46.48,-68.74,95.50888445091248
46.48,-68.14,95.50888445091248
46.48,-68.08,95.50888445091248
46.48,-68.02,95.50888445091248
46.48,-67.96,95.50888445091248
46.54,-69.76,95.40351059188843
46.54,-69.7,95.40351059188843
46.54,-69.52,95.40351059188843
46.54,-68.2,95.40351059188843
46.54,-68.14,95.40351059188843
