,lat,lon,capacity
235,45.34,-70.54,97.49096840201068
458,41.68,-70.66,103.58983383605387
299,44.14,-72.76,99.53566236846707
468,41.56,-70.48,103.78277345517903
340,43.36,-72.82,100.8413562704639
467,41.62,-72.94,103.6863604980689
435,42.04,-73.18,103.0082919974671
227,45.52,-69.22,97.18055385015805
453,41.8,-70.0,103.3964398208476
184,46.48,-69.7,95.50888603273708
248,45.28,-71.08,97.5942262486863
475,41.68,-70.78,103.58983383605387
285,44.62,-72.76,98.72297414211843
286,44.62,-67.3,98.72297414211843
197,46.12,-70.24,96.13892888125432
469,41.74,-70.42,103.49319357498746
404,42.7,-71.86,101.93158678481298
452,41.98,-73.24,103.10549866163342
201,46.12,-70.12,96.13892888125432
506,41.38,-71.56,104.07132904041742
274,44.92,-71.74,98.21152186707225
232,45.7,-70.42,96.86918016465016
208,46.06,-70.24,96.24356769464542
262,45.16,-71.08,97.80042075653913
412,42.7,-71.92,101.93158678481298
348,43.66,-72.64,100.34136483333775
311,44.32,-68.26,99.23171987463905
194,46.42,-68.86,95.61415569012674
195,46.36,-69.7,95.71932049478144
345,43.72,-72.76,100.24103599655442
224,45.94,-70.18,96.4525285779051
230,45.88,-68.92,96.55685041862225
315,44.32,-68.2,99.23171987463905
447,42.34,-71.92,102.52056639316672
498,41.74,-70.12,103.49319357498746
499,41.74,-73.36,103.49319357498746
280,45.1,-70.84,97.90335719159853
217,46.18,-68.5,96.03418463964964
489,41.92,-73.24,103.20259225788168
236,45.94,-69.04,96.4525285779051
392,43.42,-72.88,100.7415787150141
503,41.86,-70.54,103.29957267973674
223,46.18,-69.7,96.03418463964964
191,46.84,-69.04,94.87507265370476
304,44.74,-71.38,98.5187172336439
321,44.44,-71.26,99.02854726104258
337,44.14,-68.62,99.53566236846707
180,47.08,-68.8,94.45044801223372
234,46.06,-69.88,96.24356769464542
482,42.22,-72.94,102.71599466407012
272,45.4,-68.02,97.38760364444308
331,44.26,-71.14,99.33314300734692
229,46.18,-70.06,96.03418463964964
461,42.46,-71.86,102.32468841651634
479,42.28,-73.06,102.61833679546086
464,42.46,-73.0,102.32468841651634
418,43.12,-72.16,101.23935954983672
253,45.76,-69.52,96.76517632622233
237,46.12,-68.86,96.13892888125432
306,44.86,-71.26,98.31402817350568
270,45.52,-70.18,97.18055385015805
309,44.8,-67.0,98.41642666646042
542,41.56,-71.62,103.78277345517903
417,43.18,-72.16,101.14002498970893
491,42.22,-73.0,102.71599466407012
205,46.6,-69.22,95.29803262163256
231,46.24,-70.0,95.92933508469636
446,42.76,-71.86,101.83303165570568
504,42.1,-73.42,102.9109723719818
319,44.68,-70.3,98.6208997628818
521,41.92,-72.88,103.20259225788168
193,47.08,-68.74,94.45044801223372
537,41.74,-70.54,103.49319357498746
441,42.94,-73.12,101.53669666630272
544,41.68,-70.24,103.58983383605387
369,44.14,-68.44,99.53566236846707
301,45.1,-70.6,97.90335719159853
233,46.36,-69.1,95.71932049478144
259,45.94,-70.06,96.4525285779051
379,44.02,-71.56,99.73774511710089
238,46.36,-69.76,95.71932049478144
297,45.28,-70.12,97.5942262486863
483,42.58,-72.88,102.12836159333634
335,44.56,-72.82,98.82494025941658
520,42.1,-70.66,102.9109723719818
538,41.92,-73.12,103.20259225788168
290,45.52,-70.06,97.18055385015805
421,43.48,-72.76,100.6416906839765
384,44.14,-68.68,99.53566236846707
523,42.16,-73.18,102.81353989190058
342,44.56,-70.9,98.82494025941658
501,42.52,-72.82,102.22658105696449
567,41.68,-70.12,103.58983383605387
261,46.12,-68.5,96.13892888125432
292,45.58,-69.22,97.07686904049628
357,44.5,-72.22,98.92679800295784
454,43.12,-72.88,101.23935954983672
246,46.42,-69.7,95.61415569012674
329,44.92,-70.48,98.21152186707225
203,47.08,-68.86,94.45044801223372
484,42.82,-73.0,101.73436485409758
228,46.78,-69.04,94.98096899922359
420,43.72,-72.88,100.24103599655442
516,42.52,-73.0,102.22658105696449
623,41.38,-70.6,104.07132904041742
341,44.8,-70.6,98.41642666646042
275,46.06,-68.8,96.24356769464542
599,41.68,-70.3,103.58983383605387
252,46.42,-69.58,95.61415569012674
586,41.8,-73.3,103.3964398208476
225,46.96,-68.5,94.66296795219245
609,41.68,-71.68,103.58983383605387
564,42.04,-72.22,103.0082919974671
633,41.44,-71.44,103.97525783189475
565,42.04,-73.12,103.0082919974671
370,44.68,-67.18,98.6208997628818
305,45.58,-70.0,97.07686904049628
612,41.68,-70.18,103.58983383605387
487,43.0,-71.86,101.43769549688356
339,44.98,-70.48,98.10890785957096
312,45.46,-67.72,97.28413208933576
247,46.66,-69.04,95.19244909914451
629,41.56,-70.6,103.78277345517903
255,46.48,-69.04,95.50888603273708
508,42.82,-73.12,101.73436485409758
389,44.5,-67.72,98.92679800295784
411,44.08,-72.94,99.63675837479187
533,42.58,-70.72,102.12836159333634
594,41.92,-70.6,103.20259225788168
347,44.98,-71.26,98.10890785957096
587,41.98,-73.18,103.10549866163342
